LABID,Strain,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,Amoxicillin,Cefquinome,Ceftiofur,Penicillin
D16_009258,D16-009258,5,21.0,Canada,UNKNOWN,,Pig,,0.06,0.12,1.0,4.0
D16_010263,D16-010263,23,26.0,Canada,UNKNOWN,1/2,Pig,,0.03,0.015,0.06,0.03
D16_010378,D16-010378,2,1.0,Canada,UNKNOWN,4,Pig,,0.03,0.06,0.5,0.06
D16_017871,D16-017871,12,8.0,Canada,UNKNOWN,,Pig,,0.03,0.06,0.5,0.06
DB1V3_4A,DB1V3-4A,6,7.0,Canada,NON-CLINICAL,4,Pig,2016.0,0.03,0.03,0.25,0.06
EJ2T3_1A,EJ2T3-1A,32,5.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.25,0.06
EJ2T3_1B,EJ2T3-1B,32,5.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.25,0.03
EJ2T3_2A,EJ2T3-2A,32,5.0,Canada,NON-CLINICAL,7,Pig,2016.0,0.03,0.015,0.06,0.03
EJ2T3_2B,EJ2T3-2B,32,5.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.25,0.03
EJ2T3_2C,EJ2T3-2C,32,5.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.12,0.03
EJ2T3_2D,EJ2T3-2D,32,5.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.25,0.03
EJ2T3_2E,EJ2T3-2E,32,5.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.12,0.03
EJ2T3_3B,EJ2T3-3B,6,10.0,Canada,NON-CLINICAL,15,Pig,2016.0,0.03,0.03,0.12,0.03
MA4T3_1A,MA4T3-1A,6,9.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.015,0.12,0.03
MA4T3_1B,MA4T3-1B,6,9.0,Canada,NON-CLINICAL,31,Pig,2016.0,0.03,0.03,0.12,0.06
MA4T3_2B,MA4T3-2B,32,5.0,Canada,NON-CLINICAL,8,Pig,2016.0,0.03,0.06,0.25,0.03
MA4T3_3A,MA4T3-3A,23,26.0,Canada,NON-CLINICAL,1/2,Pig,2016.0,0.03,0.015,0.06,0.03
MA4T3_3B,MA4T3-3B,23,25.0,Canada,NON-CLINICAL,1/2,Pig,2016.0,0.03,0.015,0.12,0.03
MA4T3_3C,MA4T3-3C,6,9.0,Canada,NON-CLINICAL,31,Pig,2016.0,0.03,0.015,0.12,0.03
MA4T3_4A,MA4T3-4A,7,14.0,Canada,NON-CLINICAL,5,Pig,2016.0,0.12,2.0,16.0,1.0
MA4T3_4B,MA4T3-4B,7,14.0,Canada,NON-CLINICAL,,Pig,2016.0,0.06,2.0,16.0,1.0
MA4T3_4C,MA4T3-4C,2,1.0,Canada,NON-CLINICAL,4,Pig,2016.0,0.03,0.03,0.12,0.03
MA4T3_4D,MA4T3-4D,7,14.0,Canada,NON-CLINICAL,,Pig,2016.0,0.12,2.0,16.0,1.0
ME1D3_3A,ME1D3-3A,7,14.0,Canada,NON-CLINICAL,31,Pig,2016.0,0.03,0.03,0.12,0.03
MY1C3_1A,MY1C3-1A,23,25.0,Canada,NON-CLINICAL,1/2,Pig,2016.0,0.03,0.015,0.12,0.03
MY1C3_2B,MY1C3-2B,2,1.0,Canada,NON-CLINICAL,3,Pig,2016.0,0.03,0.015,0.12,0.03
MY1C3_2C,MY1C3-2C,2,1.0,Canada,NON-CLINICAL,3,Pig,2016.0,0.03,0.03,0.12,0.03
MY1C3_3B,MY1C3-3B,2,1.0,Canada,NON-CLINICAL,3,Pig,2016.0,0.03,0.03,0.12,0.03
MY1C3_3C,MY1C3-3C,2,1.0,Canada,NON-CLINICAL,4,Pig,2016.0,0.03,0.03,0.12,0.06
MZ1B3_4A,MZ1B3-4A,23,25.0,Canada,NON-CLINICAL,14,Pig,2016.0,0.03,0.015,0.12,0.03
MZ1B3_4B,MZ1B3-4B,23,26.0,Canada,NON-CLINICAL,14,Pig,2016.0,0.03,0.015,0.12,0.03
MZ1B3_4C,MZ1B3-4C,23,25.0,Canada,NON-CLINICAL,14,Pig,2016.0,0.03,0.015,0.12,0.03
MZ1B3_4D,MZ1B3-4D,23,25.0,Canada,NON-CLINICAL,14,Pig,2016.0,0.03,0.03,0.12,0.03
MZ1B3_4E,MZ1B3-4E,23,25.0,Canada,NON-CLINICAL,14,Pig,2016.0,0.03,0.015,0.12,0.03
NH1E3_10A,NH1E3-10A,6,29.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.12,0.03
NH1E3_10B,NH1E3-10B,6,29.0,Canada,NON-CLINICAL,,Pig,2016.0,0.03,0.03,0.12,0.03
NH1E3_9A,NH1E3-9A,5,21.0,Canada,NON-CLINICAL,,Pig,2016.0,0.12,0.12,1.0,1.0
NH1E3_9C,NH1E3-9C,5,21.0,Canada,NON-CLINICAL,,Pig,2016.0,0.12,0.12,1.0,1.0
NH1E3_9D,NH1E3-9D,5,21.0,Canada,NON-CLINICAL,,Pig,2016.0,0.06,0.06,0.5,1.0
P83_3336,P83-3336,16,,Canada,SYS-BRAIN,16,Pig,1983.0,0.12,0.25,2.0,2.0
LOLA_SS001,LOLA-SS001,18,4.0,Lola_UK,SYS-BRAIN,2,Pig,2010.0,0.03,0.015,0.12,0.03
LOLA_SS002,LOLA-SS002,19,4.0,Lola_UK,SYS-OTHER,1,Pig,2010.0,0.03,0.03,0.12,0.03
LOLA_SS003,LOLA-SS003,18,4.0,Lola_UK,SYS-OTHER,1,Pig,2010.0,0.03,0.015,0.12,0.03
LOLA_SS004,LOLA-SS004,22,24.0,Lola_UK,RESP,3,Pig,2010.0,0.03,0.015,0.12,0.03
LOLA_SS005,LOLA-SS005,32,5.0,Lola_UK,SYS-BRAIN,3,Pig,2010.0,0.03,0.03,0.25,0.03
LOLA_SS006,LOLA-SS006,22,24.0,Lola_UK,RESP,4,Pig,2010.0,0.03,0.015,0.12,0.03
LOLA_SS008,LOLA-SS008,24,29.0,Lola_UK,SYS-OTHER,7,Pig,2010.0,0.03,0.008,0.06,0.12
LOLA_SS009,LOLA-SS009,24,28.0,Lola_UK,SYS-BRAIN,7,Pig,2010.0,0.03,0.015,0.12,0.03
LOLA_SS010,LOLA-SS010,18,4.0,Lola_UK,SYS-OTHER,14,Pig,2010.0,0.03,0.03,0.25,0.03
LOLA_SS011,LOLA-SS011,18,4.0,Lola_UK,SYS-BRAIN,14,Pig,2010.0,0.03,0.015,0.12,0.03
LSS1,LSS1,21,26.0,Lola_UK,NON-CLINICAL,2,Pig,2010.0,0.03,0.015,0.06,0.03
LSS10,LSS10,6,9.0,Lola_UK,UNKNOWN,,Pig,2010.0,0.03,0.03,0.12,0.03
LSS100,LSS100,6,10.0,Lola_UK,UNKNOWN,15,Pig,2011.0,0.03,0.015,0.12,0.03
LSS11,LSS11,6,9.0,Lola_UK,NON-CLINICAL,31,Pig,2011.0,0.03,0.015,0.12,0.03
LSS13,LSS13,9,13.0,Lola_UK,RESP,16,Pig,2009.0,0.03,0.06,0.5,0.12
LSS18,LSS18,11,8.0,Lola_UK,NON-CLINICAL,16,Pig,2010.0,0.03,0.015,0.12,0.03
LSS2,LSS2,6,10.0,Lola_UK,UNKNOWN-SYS_DISEASE,15,Pig,2010.0,0.03,0.03,0.12,0.03
LSS20,LSS20,34,5.0,Lola_UK,NON-CLINICAL,4,Pig,2010.0,0.03,0.008,0.06,0.03
LSS21,LSS21,18,4.0,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011.0,0.03,0.008,0.12,0.03
LSS22,LSS22,18,4.0,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011.0,0.03,0.008,0.12,0.03
LSS23,LSS23,5,21.0,Lola_UK,NON-CLINICAL,24,Pig,2011.0,0.03,0.008,1.0,0.03
LSS24,LSS24,21,26.0,Lola_UK,UNKNOWN-SYS_DISEASE,1/2,Pig,2011.0,0.03,0.008,0.06,0.03
LSS25,LSS25,21,25.0,Lola_UK,NON-CLINICAL,1/2,Pig,2011.0,0.03,0.002,0.06,0.03
LSS26,LSS26,21,26.0,Lola_UK,UNKNOWN-SYS_DISEASE,1/2,Pig,2011.0,0.03,0.015,0.12,0.03
LSS27,LSS27,6,9.0,Lola_UK,NON-CLINICAL,10,Pig,2011.0,0.03,0.015,0.12,0.03
LSS28,LSS28,18,4.0,Lola_UK,UNKNOWN,2,Pig,2011.0,0.03,0.015,0.12,0.03
LSS29,LSS29,21,25.0,Lola_UK,UNKNOWN-SYS_DISEASE,1/2,Pig,2011.0,0.03,0.008,0.06,0.03
LSS3,LSS3,21,25.0,Lola_UK,NON-CLINICAL,1/2,Pig,2010.0,0.03,0.015,0.06,0.03
LSS30,LSS30,6,9.0,Lola_UK,NON-CLINICAL,31,Pig,2011.0,0.03,0.03,0.5,0.12
LSS31,LSS31,6,9.0,Lola_UK,NON-CLINICAL,24,Pig,2011.0,0.03,0.008,0.12,0.03
LSS32,LSS32,5,21.0,Lola_UK,NON-CLINICAL,24,Pig,2011.0,0.03,0.06,1.0,0.25
LSS33,LSS33,6,9.0,Lola_UK,UNKNOWN-SYS_DISEASE,4,Pig,2011.0,0.03,0.03,0.25,0.03
LSS34,LSS34,34,5.0,Lola_UK,NON-CLINICAL,8,Pig,2011.0,0.03,0.06,0.25,0.03
LSS35,LSS35,18,4.0,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011.0,0.03,0.03,0.12,0.03
LSS36,LSS36,5,21.0,Lola_UK,UNKNOWN-SYS_DISEASE,,Pig,2011.0,0.03,0.06,0.5,1.0
LSS37,LSS37,6,9.0,Lola_UK,NON-CLINICAL,24,Pig,2011.0,0.03,0.015,0.12,0.03
LSS4,LSS4,18,4.0,Lola_UK,UNKNOWN,2,Pig,2010.0,0.03,0.015,0.12,0.03
LSS40,LSS40,13,8.0,Lola_UK,NON-CLINICAL,6,Pig,2011.0,0.03,0.03,0.12,0.03
LSS42,LSS42,9,13.0,Lola_UK,NON-CLINICAL,16,Pig,2011.0,0.03,0.06,1.0,0.25
LSS44,LSS44,7,11.0,Lola_UK,NON-CLINICAL,15,Pig,2011.0,0.03,0.06,0.25,0.03
LSS47,LSS47,11,8.0,Lola_UK,NON-CLINICAL,16,Pig,2011.0,0.03,0.008,0.12,0.03
LSS48,LSS48,6,9.0,Lola_UK,NON-CLINICAL,31,Pig,2011.0,0.03,0.25,1.0,0.12
LSS49,LSS49,6,9.0,Lola_UK,NON-CLINICAL,,Pig,2011.0,0.03,0.06,1.0,0.06
LSS5,LSS5,18,4.0,Lola_UK,UNKNOWN,2,Pig,2010.0,0.03,0.03,0.12,0.03
LSS50,LSS50,18,4.0,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011.0,0.03,0.008,0.12,0.03
LSS51,LSS51,18,4.0,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011.0,0.03,0.008,0.12,0.03
LSS52,LSS52,5,21.0,Lola_UK,UNKNOWN-SYS_DISEASE,19,Pig,2011.0,0.03,0.015,0.25,0.5
