"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"20152964","0-0-2",0.03,0.06,0.06,0.06,0.5,0.5
"2012219022","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202550","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202558","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013201625","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154282","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154349","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"4748-99","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012214442","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014201545","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153204","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153453","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012220354","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202538","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013223642","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152151","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"8312-06","0-0-23",0.03,0.03,0.06,0.06,0.5,0.5
"3130-06","0-0-28",0.06,0.03,0.06,0.12,0.5,0.5
"2010216083","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20154490","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2009218281","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2009218382","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20153269","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2013221978","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20152243","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2013222813","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20154497","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20154480","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20151618","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20152952","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20152966","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20153208","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"5076-05","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"5222-99","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20153430","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20154494","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20153395","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2010216299","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2014202869","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20154340","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2012222537","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
