"LABID","PT","D1","D2"
"20160539","0-27-13",-0.119692252041979,-0.147995290699755
"20160540","1-2-2",-1.4498080314019,-1.20336339786898
"20160541","9-0-3",-1.44980803140353,-1.2033633978701
"20160542","1-4-2",-1.44980803140303,-1.20336339786956
"20160543","9-0-3",-1.44980803140166,-1.20336339786869
"20160544","1-4-2",-1.44980803140218,-1.20336339786904
"20160545","2-0-6",-0.48694458770888,-1.21771059208063
"20160546","3-5-5",-1.44980803140144,-1.20336339786877
"20160547","2-3-2",-1.44980803140129,-1.20336339786867
"20160548","1-2-2",-1.44980803140155,-1.2033633978688
"20160549","2-4-4",-0.486944587707736,-1.2177105920775
"20160550","1-2-2",-1.44980803140273,-1.20336339786953
"20160551","2-0-3",-1.44980803140265,-1.203363397869
"20160552","19-1-24",1.27945392805741,3.45459325707665
"20160554","13-11-16",9.65907420004277,5.42140672220857
"20160556","3-5-5",-1.44980803140102,-1.20336339786845
"20160557","24-27-13",0.991590201484465,2.38639321998537
"20160558","13-11-16",8.68314355721377,4.01620559270197
"20160559","4-7-7",7.20626634387283,4.44530512393955
"20160560","7-8-9",1.60073057420584,2.85684412426399
"20160561","7-8-9",1.13498700195556,2.26358017206855
"20160562","0-10-2",-1.4498080314035,-1.20336339786973
"20160563","2-0-6",-1.44980803140115,-1.20336339786854
"20160564","12-0-0",-1.44980803140092,-1.2033633978684
"20160565","2-3-2",-1.4498080314019,-1.20336339786894
"20160566","0-10-14",-1.43207760973931,0.170069394915229
"20160567","0-1-1",-0.106702009257372,2.13601450763437
"20160568","2-0-2",-1.44980803140202,-1.20336339786894
"20160569","0-0-0",-1.44980803140327,-1.20336339786986
"20160570","0-1-1",0.391763637577848,2.03698579471665
"20160571","4-7-7",5.29996838314439,3.50336774386317
"20160572","0-1-1",0.39176363757599,2.03698579471736
"20160573","0-1-1",0.391763637575332,2.03698579471818
"20160574","3-5-5",-0.486944587707989,-1.21771059207832
"20160575","23-0-0",-1.4498080314015,-1.20336339786881
"20160576","1-6-0",-1.44980803140119,-1.20336339786861
"20160577","15-12-18",7.20626634387325,4.44530512393748
"20160578","4-7-7",6.63709965563512,4.67621371010474
"20160579","2-0-2",-0.486944587708379,-1.21771059207939
"20160580","0-0-3",-1.44980803140171,-1.20336339786885
"20160581","1-2-2",-1.44980803140335,-1.20336339786997
"20160582","0-0-2",-1.44980803140346,-1.20336339786972
"20160583","24-27-28",-0.40058931079835,1.94264277675405
"20160584","0-1-1",0.391763637575975,2.03698579471732
"20160585","0-0-2",-1.44980803140202,-1.20336339786907
"20160586","4-7-7",7.20626634387386,4.44530512393731
"20160587","24-27-179",0.10068122888927,1.0781692926946
"20160590","1-0-0",-1.44980803140164,-1.20336339786886
"20160591","1-2-2",-1.44980803140102,-1.20336339786846
"20160592","12-0-0",-1.44980803140157,-1.2033633978689
"20160593","2-0-6",-1.44980803140126,-1.20336339786866
"20160594","2-0-2",-1.44980803140178,-1.20336339786887
"20160595","0-40-2",-1.44980803140336,-1.20336339786973
"20160596","2-0-2",-0.486944587707823,-1.21771059207798
"20160597","1-0-0",-1.44980803140351,-1.20336339787
"20160598","0-1-1",0.3917636375739,2.03698579471873
"20160729","8-0-11",-1.47686579157578,-0.216871548115759
"20160730","0-0-2",-1.44980803140182,-1.20336339786883
"20160731","13-11-16",9.24523063323816,5.85858351070167
"20160732","24-27-28",-1.61187167897199,1.78984783780188
"20160733","2-0-6",-1.44980803140163,-1.20336339786886
"20160734","8-0-11",-0.673426895278107,-0.067113218699701
"20160735","2-4-0",-1.44980803140119,-1.20336339786862
"20160736","2-6-0",-1.44980803140167,-1.20336339786889
"20160737","2-4-178",-1.44980803140236,-1.20336339786923
"20160738","1-0-0",-0.486944587708494,-1.21771059207948
"20160739","1-0-0",-0.486944587708263,-1.21771059207987
"20160740","0-0-0",-1.44980803140148,-1.20336339786872
"20160741","0-0-2",-1.44980803140253,-1.20336339786917
"20160742","2-0-0",-1.44980803140103,-1.20336339786849
"20160743","2-3-2",-1.44980803140117,-1.20336339786858
"20160744","13-14-26",11.7573335946946,5.57599054498829
"20160745","1-4-2",-1.44980803140157,-1.20336339786868
"20160881","0-0-3",-1.44980803140103,-1.20336339786851
"20160882","0-1-1",-0.863955476295427,1.89228392576473
"20160883","0-1-1",-0.751973043249474,0.89463535344189
"20160885","2-3-2",-0.486944587707609,-1.21771059207685
"20160886","4-7-7",6.63709965563467,4.67621371010266
"20160887","2-6-0",-1.44980803140136,-1.20336339786868
